NAME,APPS,MINS,GOALS
Aaron Cresswell,6,50,0
Aaron Wan-Bissaka,19,1624,2
Abdoulaye Doucouré,17,1348,0
Abdul Fatawu,11,577,0
Adam Armstrong,17,1117,2
Adam Lallana,11,326,0
Adam Smith,17,1039,0
Adam Webster,4,104,0
Adam Wharton,8,625,0
Adama Traoré,19,941,1
Alejandro Carnacho,19,1039,3
Alex Iwobi,20,1726,5
Alex Moreno,11,794,0
Alex Murphy,0,0,0
Alex Scott,8,268,0
Alexander Isak,18,1467,13
Alexis Mac Alister,18,1325,1
Alfie Devine,0,0,0
Alfie Dorrington,1,13,0
Alfie Pond,1,1,0
Ali Al-Hamadi,11,125,0
Amad Diallo,10,1233,3
Amadou Onana,14,912,2
Amara Geilo,0,0,0
André,15,962,0
Andros Pereira,10,1109,2
Andrew Omobamidele,0,0,0
Andy Irving,6,65,0
Andy Robertson,18,1387,0
Anthony Elanga,20,1119,3
Anthony Gordon,19,1623,5
Antoine Semenyo,19,1661,5
Antonee Robinson,20,1800,0
Antony,6,84,0
Archie Gray,13,997,0
Archie Harris,0,0,0
Armando Broja,5,158,0
Armel Belle-Kotchap,0,0,0
Asher Agbenone,2,4,0
Ashley Young,16,1360,1
Axel Disasi,5,352,1
Axel Tuanzebe,9,774,0
Aydin Heaven,0,0,0
Bastien Meupiyou,0,0,0
Ben Brereton,10,448,0
Ben Broggio,0,0,0
Ben Davies,4,271,0
Ben Johnson,12,673,0
Ben Mee,5,176,0
Ben Nelson,0,0,0
Ben White,9,694,0
Ben Winterburn,1,0,0
Benjamin Arthur,0,0,0
Benoit Badiashile,4,247,0
Bernardo Silva,20,1644,2
Beto,12,221,1
Bilal El Khannouss,15,804,1
Billy Gilmour,3,97,0
Bobby De Cordova-Reid,14,275,1
Boubacar Kamara,11,676,0
Boubacar Traoré,0,0,0
Boubakary Soumaré,13,832,0
Brajon Gruda,10,319,0
Brennan Johnson,20,1462,7
Bruno Fernandes,19,1570,4
Bruno Guimaraes,20,1748,1
Bryan Mbeumo,20,1795,13
Bukayo Saka,16,1275,5
Caleb Kporha,2,11,0
Caleb Okoli,13,798,0
Callum Bates,0,0,0
Callum Hudson-Odoi,18,1413,2
Callum Olusesi,0,0,0
Callum Wilson,4,67,0
Calvin Bassey,19,1710,0
Cameron Archer,19,957,2
Cameron Burgess,9,810,0
Carlos Alcaraz,1,9,0
Carlos Baleba,17,1287,2
Carlos Forbs,9,231,0
Carlos Soler,16,726,0
Carlos Vinicius,1,3,0
Casemiro,14,838,1
Cesare Casadei,0,0,0
Chadi Riad,1,90,0
Charlie Taylor,7,263,0
Cheick Doucouré,12,375,0
Chiedozie Ogbene,5,240,0
Chiquinho,1,6,0
Chris Richards,9,625,0
Chris Wood,20,1564,12
Christian Eriksen,11,626,0
Christian Norgaard,17,1307,1
Christopher Nkunku,18,391,2
Cody Gakpo,19,909,6
Cole Palmer,20,1750,13
Conor Bradley,5,234,0
Conor Chaplin,15,651,1
Conor Coady,9,713,0
Conor Townsend,1,1,0
Craig Dawson,15,969,0
Cristian Romero,12,976,1
Crysencio Summerville,19,708,1
Curtis Jones,16,871,3
Daichi Kamada,16,745,0
Dan Burn,19,1710,0
Danjo Quattara,17,800,3
Daniel Johnson,2,26,0
Daniel Munoz,19,1627,2
Daniel Podence,2,46,0
Danilo,1,15,0
Danny Ings,10,176,1
Danny Welbeck,14,1119,6
Dara O'Shea,17,1503,0
Darwin Nunez,16,753,2
David Brooks,13,256,2
Dean Huijsen,14,806,2
Declan Rice,18,1380,1
Dejan Kulusevski,20,1691,5
Destiny Idekoje,18,1436,0
Diego Carlos,16,828,0
Diogo Dalot,20,1767,0
Diogo Jota,12,603,4
Djimi Mouaema,0,0,0
Djed Spence,8,418,0
Dominic Calvert-Lewin,19,1389,2
Dominic Solanke,17,1611,7
Dominik Szoboszlai,17,1132,3
Dwight McNeil,13,1143,3
Eberechi Eze,16,1343,2
Eddie Nketiah,14,682,0
Edson Alvarez,16,973,0
Elliot Anderson,19,1280,0
Emerson,18,1562,1
Emil Krafth,3,248,0
Emile Smith Rowe,18,1148,3
Emiliano Buendia,10,62,0
Enes Unal,17,331,2
Enzo Fernandez,19,1420,3
Eric da Silva Moreira,2,28,0
Erling Haaland,20,1793,16
Ethan Ampadu,12,231,2
Ethan Pinnock,16,1440,1
Ethan Wheatley,0,0,0
Evan Ferguson,12,219,1
Evandilson,19,1383,5
Ezra Mayers,0,0,0
Ezri Konsa,18,1642,1
Fabian Schar,17,1460,2
Fabio Carvalho,16,421,1
Facundo Buonanotte,17,1046,4
Federico Chiesa,1,18,0
Ferdi Kadioglu,6,388,1
Flynn Downes,16,1373,1
Franco Umeh-Chibueze,0,0,0
Frank Onyeka,2,23,0
Gabriel Jesus,17,683,3
Gabriel Magalhaes,18,1639,3
Gabriel Martinelli,18,1176,5
George Edmundson,1,1,0
George Hirst,8,175,1
Georginio Rutter,19,1090,2
Godwill Kukonki,0,0,0
Goncalo Guedes,17,628,2
Guido Rodriguez,16,895,0
Hamad Traore,0,0,0
Hamza Choudhury,4,138,0
Harrison Armstrong,3,47,0
Harrison Reed,8,54,0
Harry Amass,0,0,0
Harry Clarke,7,378,0
Harry Maguire,13,810,0
Harry Toffolo,3,46,0
Harry Wilson,16,687,6
Harry Winks,15,1161,0
Harvey Barnes,20,778,5
Harvey Elliott,7,43,0
Henry Cartwright,0,0,0
Hwang Hee-Chan,14,499,2
Ian Maatsen,15,305,0
Ibrahim Sangare,3,214,0
Ibrahima Konate,13,1065,1
Idrissa Gueye,18,1398,0
Igor Julio,12,901,0
Igor Thiago,4,130,0
Iliman Ndiaye,19,1519,3
Ilkay Gundogan,18,1161,0
Ilia Zabarnyi,20,1800,0
Imari Samuels,0,0,0
Ismaila Sarr,20,1271,4
Ismael Kaba,0,0,0
Issa Diop,15,1065,0
Issa Kaboré,0,0,0
Jack Clarke,16,625,0
Jack Fletcher,0,0,0
Jack Grealish,14,577,0
Jack Harrison,17,943,0
Jack Hinshelwood,10,842,1
Jack Stephens,10,797,0
Jack Taylor,15,353,1
